(0.262257,0)	(0.489333,0)	(0.663077,0)	(0.782511,0)	(0.858926,0)	(0.900689,0)	(0.919255,0)	(0.924018,0)	(0.923435,0)	(0.921053,0)	(0.919114,0)	(0.918667,0)	(0.920909,0)	(0.925342,0)	(0.932745,0)	(0.94245,0)	(0.95342,0)	(0.965657,0)	(0.977648,0)	(0.987752,0)	(0.994664,0)	(0.997353,0)	(0.994189,0)	(0.986482,0)	(0.975245,0)	(0.961301,0)	(0.945237,0)	(0.92747,0)	(0.909168,0)	(0.89062,0)	(0.871924,0)	(0.853308,0)	(0.83505,0)	(0.817023,0)	(0.799772,0)	(0.783302,0)	(0.768312,0)	(0.754531,0)	(0.742962,0)	(0.734317,0)	(0.729509,0)	(0.72746,0)	(0.727718,0)	(0.728489,0)	(0.726509,0)	(0.713384,0)	(0.67761,0)	(0.600016,0)	(0.453497,0)	(0.248559,0)	
(0.256545,0)	(0.478676,0)	(0.648636,0)	(0.76547,0)	(0.840225,0)	(0.881083,0)	(0.899253,0)	(0.903928,0)	(0.903382,0)	(0.901092,0)	(0.899265,0)	(0.898938,0)	(0.901311,0)	(0.905938,0)	(0.913666,0)	(0.923872,0)	(0.935712,0)	(0.949262,0)	(0.963218,0)	(0.9761,0)	(0.986736,0)	(0.994189,0)	(0.996906,0)	(0.993962,0)	(0.986503,0)	(0.975367,0)	(0.961269,0)	(0.944778,0)	(0.927232,0)	(0.909045,0)	(0.890431,0)	(0.871718,0)	(0.853251,0)	(0.83494,0)	(0.817373,0)	(0.800575,0)	(0.785273,0)	(0.771198,0)	(0.759379,0)	(0.750544,0)	(0.745631,0)	(0.743536,0)	(0.7438,0)	(0.744588,0)	(0.742564,0)	(0.729149,0)	(0.692584,0)	(0.613276,0)	(0.463519,0)	(0.254052,0)	
(0.251006,0)	(0.46834,0)	(0.63463,0)	(0.748942,0)	(0.822083,0)	(0.862063,0)	(0.879845,0)	(0.884426,0)	(0.883906,0)	(0.881689,0)	(0.879941,0)	(0.879686,0)	(0.882117,0)	(0.886822,0)	(0.894692,0)	(0.905139,0)	(0.917464,0)	(0.931812,0)	(0.947059,0)	(0.961896,0)	(0.97529,0)	(0.986482,0)	(0.993962,0)	(0.996875,0)	(0.99419,0)	(0.986839,0)	(0.975545,0)	(0.961029,0)	(0.944776,0)	(0.927341,0)	(0.909079,0)	(0.890451,0)	(0.871888,0)	(0.853361,0)	(0.835514,0)	(0.818407,0)	(0.8028,0)	(0.788428,0)	(0.776355,0)	(0.767328,0)	(0.762306,0)	(0.760166,0)	(0.760435,0)	(0.761241,0)	(0.759172,0)	(0.745457,0)	(0.708074,0)	(0.626992,0)	(0.473886,0)	(0.259733,0)	
(0.245607,0)	(0.458267,0)	(0.620982,0)	(0.732835,0)	(0.804405,0)	(0.843526,0)	(0.860927,0)	(0.865415,0)	(0.864913,0)	(0.862757,0)	(0.86107,0)	(0.860857,0)	(0.8633,0)	(0.868013,0)	(0.875908,0)	(0.886425,0)	(0.898972,0)	(0.91375,0)	(0.929783,0)	(0.945911,0)	(0.961265,0)	(0.975245,0)	(0.986503,0)	(0.99419,0)	(0.997319,0)	(0.994708,0)	(0.987157,0)	(0.975421,0)	(0.961132,0)	(0.944961,0)	(0.927427,0)	(0.909148,0)	(0.890669,0)	(0.872037,0)	(0.85398,0)	(0.836602,0)	(0.82071,0)	(0.806052,0)	(0.793728,0)	(0.784508,0)	(0.779378,0)	(0.777192,0)	(0.777468,0)	(0.778292,0)	(0.776176,0)	(0.762154,0)	(0.723934,0)	(0.641035,0)	(0.4845,0)	(0.265551,0)	
(0.24035,0)	(0.448458,0)	(0.607689,0)	(0.717149,0)	(0.787187,0)	(0.825471,0)	(0.842501,0)	(0.846895,0)	(0.846408,0)	(0.844304,0)	(0.842665,0)	(0.842478,0)	(0.844905,0)	(0.849579,0)	(0.85742,0)	(0.867891,0)	(0.880475,0)	(0.895413,0)	(0.911845,0)	(0.928737,0)	(0.945366,0)	(0.961301,0)	(0.975367,0)	(0.986839,0)	(0.994708,0)	(0.997975,0)	(0.995214,0)	(0.98727,0)	(0.97581,0)	(0.961617,0)	(0.94535,0)	(0.927821,0)	(0.9097,0)	(0.891147,0)	(0.872991,0)	(0.855409,0)	(0.839269,0)	(0.824342,0)	(0.811774,0)	(0.802363,0)	(0.797126,0)	(0.794895,0)	(0.795179,0)	(0.796023,0)	(0.793858,0)	(0.779517,0)	(0.740426,0)	(0.655639,0)	(0.495537,0)	(0.271601,0)	
(0.235165,0)	(0.438784,0)	(0.594581,0)	(0.701679,0)	(0.770206,0)	(0.807665,0)	(0.824329,0)	(0.828628,0)	(0.828154,0)	(0.826099,0)	(0.824501,0)	(0.824329,0)	(0.826723,0)	(0.831333,0)	(0.839072,0)	(0.849424,0)	(0.861923,0)	(0.876839,0)	(0.893398,0)	(0.910664,0)	(0.928041,0)	(0.945237,0)	(0.961269,0)	(0.975545,0)	(0.987157,0)	(0.995214,0)	(0.998341,0)	(0.995204,0)	(0.987559,0)	(0.976187,0)	(0.961886,0)	(0.94564,0)	(0.928275,0)	(0.910072,0)	(0.891999,0)	(0.874329,0)	(0.858013,0)	(0.842858,0)	(0.830071,0)	(0.820481,0)	(0.815145,0)	(0.812872,0)	(0.813167,0)	(0.814031,0)	(0.811819,0)	(0.797153,0)	(0.757177,0)	(0.670472,0)	(0.506749,0)	(0.277745,0)	
(0.229977,0)	(0.429104,0)	(0.581463,0)	(0.686198,0)	(0.753214,0)	(0.789847,0)	(0.806143,0)	(0.810348,0)	(0.809884,0)	(0.807876,0)	(0.806317,0)	(0.806155,0)	(0.808507,0)	(0.813034,0)	(0.820641,0)	(0.830827,0)	(0.843163,0)	(0.857936,0)	(0.874435,0)	(0.891802,0)	(0.90954,0)	(0.92747,0)	(0.944778,0)	(0.961029,0)	(0.975421,0)	(0.98727,0)	(0.995204,0)	(0.997978,0)	(0.995155,0)	(0.987585,0)	(0.976096,0)	(0.961849,0)	(0.945783,0)	(0.928336,0)	(0.910623,0)	(0.893055,0)	(0.876687,0)	(0.86138,0)	(0.848422,0)	(0.838682,0)	(0.833262,0)	(0.830956,0)	(0.831267,0)	(0.832155,0)	(0.829895,0)	(0.814904,0)	(0.774038,0)	(0.685402,0)	(0.518033,0)	(0.28393,0)	
(0.224947,0)	(0.419718,0)	(0.568745,0)	(0.671189,0)	(0.736739,0)	(0.77257,0)	(0.78851,0)	(0.792623,0)	(0.79217,0)	(0.790207,0)	(0.788683,0)	(0.788527,0)	(0.790833,0)	(0.795271,0)	(0.802733,0)	(0.812732,0)	(0.824864,0)	(0.839426,0)	(0.855753,0)	(0.873046,0)	(0.890882,0)	(0.909168,0)	(0.927232,0)	(0.944776,0)	(0.961132,0)	(0.97581,0)	(0.987559,0)	(0.995155,0)	(0.998239,0)	(0.995479,0)	(0.987801,0)	(0.976416,0)	(0.962368,0)	(0.946217,0)	(0.929257,0)	(0.91206,0)	(0.895818,0)	(0.880471,0)	(0.86741,0)	(0.857559,0)	(0.852079,0)	(0.849755,0)	(0.850091,0)	(0.851009,0)	(0.848701,0)	(0.833372,0)	(0.79158,0)	(0.700936,0)	(0.529774,0)	(0.290365,0)	
(0.220055,0)	(0.410591,0)	(0.556378,0)	(0.656594,0)	(0.720719,0)	(0.755771,0)	(0.771364,0)	(0.775388,0)	(0.774945,0)	(0.773024,0)	(0.771534,0)	(0.771382,0)	(0.773641,0)	(0.777988,0)	(0.785299,0)	(0.795099,0)	(0.807004,0)	(0.821313,0)	(0.837397,0)	(0.854498,0)	(0.872251,0)	(0.89062,0)	(0.909045,0)	(0.927341,0)	(0.944961,0)	(0.961617,0)	(0.976187,0)	(0.987585,0)	(0.995479,0)	(0.998606,0)	(0.995749,0)	(0.988218,0)	(0.977042,0)	(0.962898,0)	(0.947225,0)	(0.930795,0)	(0.914952,0)	(0.899748,0)	(0.886705,0)	(0.876815,0)	(0.871323,0)	(0.869007,0)	(0.869384,0)	(0.870341,0)	(0.86799,0)	(0.852316,0)	(0.809576,0)	(0.716871,0)	(0.541818,0)	(0.296967,0)	
(0.215256,0)	(0.401636,0)	(0.544242,0)	(0.642273,0)	(0.704999,0)	(0.739286,0)	(0.754539,0)	(0.758475,0)	(0.758042,0)	(0.756163,0)	(0.754706,0)	(0.754557,0)	(0.756767,0)	(0.761022,0)	(0.768179,0)	(0.777775,0)	(0.78944,0)	(0.803472,0)	(0.819269,0)	(0.836107,0)	(0.853657,0)	(0.871924,0)	(0.890431,0)	(0.909079,0)	(0.927427,0)	(0.94535,0)	(0.961886,0)	(0.976096,0)	(0.987801,0)	(0.995749,0)	(0.99881,0)	(0.996146,0)	(0.988835,0)	(0.977557,0)	(0.963881,0)	(0.948757,0)	(0.933714,0)	(0.918928,0)	(0.906093,0)	(0.896287,0)	(0.890859,0)	(0.888599,0)	(0.889048,0)	(0.89006,0)	(0.887673,0)	(0.871651,0)	(0.827945,0)	(0.733139,0)	(0.554114,0)	(0.303707,0)	
