15.25	-0.780066	-1.0412	-1.30233	-1.56346	-1.82459	-2.08572	-2.34685	
15.5	-0.767701	-1.02466	-1.28161	-1.53857	-1.79553	-2.05248	-2.30944	
15.75	-0.755718	-1.00863	-1.26154	-1.51446	-1.76737	-2.02028	-2.2732	
16	-0.7441	-0.993094	-1.24209	-1.49108	-1.74008	-1.98907	-2.23807	
16.25	-0.732831	-0.978025	-1.22322	-1.46842	-1.71361	-1.95881	-2.204	
16.5	-0.721895	-0.963404	-1.20491	-1.44642	-1.68793	-1.92944	-2.17095	
16.75	-0.711278	-0.94921	-1.18714	-1.42507	-1.66301	-1.90094	-2.13887	
17	-0.700967	-0.935426	-1.16988	-1.40434	-1.6388	-1.87326	-2.10772	
17.25	-0.690948	-0.922033	-1.15312	-1.3842	-1.61529	-1.84637	-2.07746	
17.5	-0.68121	-0.909016	-1.13682	-1.36463	-1.59244	-1.82024	-2.04805	
17.75	-0.67174	-0.89636	-1.12098	-1.3456	-1.57022	-1.79484	-2.01946	
18	-0.662529	-0.884049	-1.10557	-1.32709	-1.54861	-1.77013	-1.99165	
18.25	-0.653565	-0.87207	-1.09057	-1.30908	-1.52759	-1.74609	-1.9646	
18.5	-0.644838	-0.860409	-1.07598	-1.29155	-1.50712	-1.72269	-1.93826	
18.75	-0.63634	-0.849054	-1.06177	-1.27448	-1.48719	-1.69991	-1.91262	
19	-0.628062	-0.837993	-1.04792	-1.25786	-1.46779	-1.67772	-1.88765	
19.25	-0.619996	-0.827216	-1.03444	-1.24166	-1.44888	-1.6561	-1.86332	
19.5	-0.612133	-0.816711	-1.02129	-1.22587	-1.43044	-1.63502	-1.8396	
19.75	-0.604465	-0.806468	-1.00847	-1.21047	-1.41247	-1.61448	-1.81648	
20	-0.596986	-0.796477	-0.995968	-1.19546	-1.39495	-1.59444	-1.79393	
20.25	-0.58969	-0.78673	-0.98377	-1.18081	-1.37785	-1.57489	-1.77193	
20.5	-0.582568	-0.777217	-0.971867	-1.16652	-1.36117	-1.55581	-1.75046	
20.75	-0.575616	-0.767931	-0.960247	-1.15256	-1.34488	-1.53719	-1.72951	
21	-0.568826	-0.758863	-0.9489	-1.13894	-1.32897	-1.51901	-1.70905	
21.25	-0.562195	-0.750006	-0.937818	-1.12563	-1.31344	-1.50125	-1.68906	
21.5	-0.555715	-0.741353	-0.92699	-1.11263	-1.29827	-1.4839	-1.66954	
21.75	-0.549383	-0.732896	-0.916409	-1.09992	-1.28344	-1.46695	-1.65046	
22	-0.543192	-0.724629	-0.906066	-1.0875	-1.26894	-1.45038	-1.63181	
22.25	-0.537139	-0.716546	-0.895952	-1.07536	-1.25477	-1.43417	-1.61358	
22.5	-0.531219	-0.70864	-0.886062	-1.06348	-1.2409	-1.41833	-1.59575	
22.75	-0.525427	-0.700907	-0.876386	-1.05187	-1.22735	-1.40282	-1.5783	
23	-0.51976	-0.693339	-0.866919	-1.0405	-1.21408	-1.38766	-1.56124	
23.25	-0.514213	-0.685933	-0.857654	-1.02937	-1.20109	-1.37281	-1.54453	
23.5	-0.508783	-0.678683	-0.848584	-1.01848	-1.18838	-1.35828	-1.52819	
23.75	-0.503466	-0.671584	-0.839703	-1.00782	-1.17594	-1.34406	-1.51218	
24	-0.498258	-0.664632	-0.831005	-0.997379	-1.16375	-1.33013	-1.4965	
24.25	-0.493157	-0.657822	-0.822486	-0.98715	-1.15181	-1.31648	-1.48114	
24.5	-0.488159	-0.651149	-0.814139	-0.977129	-1.14012	-1.30311	-1.4661	
24.75	-0.483261	-0.64461	-0.805959	-0.967308	-1.12866	-1.29001	-1.45136	
25	-0.47846	-0.6382	-0.797941	-0.957682	-1.11742	-1.27716	-1.43691	
25.25	-0.473752	-0.631917	-0.790081	-0.948246	-1.10641	-1.26457	-1.42274	
25.5	-0.469137	-0.625756	-0.782374	-0.938993	-1.09561	-1.25223	-1.40885	
25.75	-0.46461	-0.619713	-0.774816	-0.929919	-1.08502	-1.24012	-1.39523	
26	-0.460169	-0.613785	-0.767401	-0.921017	-1.07463	-1.22825	-1.38187	
26.25	-0.455813	-0.60797	-0.760127	-0.912285	-1.06444	-1.2166	-1.36876	
26.5	-0.451537	-0.602263	-0.752989	-0.903716	-1.05444	-1.20517	-1.35589	
